asof,asof_quarter,horizon,target_quarter,call,grade,made_call,pred_delta,real_delta,pred_dir,real_dir,hit,conviction_pp,covid_target,consumer_stretched
2017-09-30,2017Q3,1,2017Q4,inflation_qoq,call,True,0.4674693656859352,0.3174870925466866,accelerating,accelerating,1.0,0.4674693656859352,False,False
2017-09-30,2017Q3,2,2018Q1,growth_yoy,call,True,-0.027893603972328762,0.3346665979973462,decelerating,accelerating,0.0,0.027893603972328762,False,False
2017-09-30,2017Q3,2,2018Q1,growth_qoq,abstain,False,,-0.31363682495104683,no call,decelerating,,,False,False
2017-09-30,2017Q3,2,2018Q1,inflation_yoy,call,True,-0.04497400041711197,0.1408517422751463,decelerating,accelerating,0.0,0.04497400041711197,False,False
2017-09-30,2017Q3,2,2018Q1,inflation_qoq,call,True,-0.33084650718469,0.047111037814961954,decelerating,accelerating,0.0,0.33084650718469,False,False
2017-09-30,2017Q3,3,2018Q2,growth_yoy,call,True,-0.22917328653841995,-0.029847248237091506,decelerating,decelerating,1.0,0.22917328653841995,False,False
2017-09-30,2017Q3,3,2018Q2,growth_qoq,abstain,False,,-0.2825846608052629,no call,decelerating,,,False,False
2017-09-30,2017Q3,3,2018Q2,inflation_yoy,call,True,0.5999300900814797,0.4382436799120235,accelerating,accelerating,1.0,0.5999300900814797,False,False
2017-09-30,2017Q3,3,2018Q2,inflation_qoq,call,True,0.04289701410906677,-0.2982312149923949,accelerating,decelerating,0.0,0.04289701410906677,False,False
2017-09-30,2017Q3,4,2018Q3,growth_yoy,call,True,0.035117812490725875,-0.16893220580334045,accelerating,decelerating,0.0,0.035117812490725875,False,False
2017-09-30,2017Q3,4,2018Q3,growth_qoq,abstain,False,,0.09287228429846195,no call,accelerating,,,False,False
2017-09-30,2017Q3,4,2018Q3,inflation_yoy,call,True,0.19728967943837983,-0.07712161843226628,accelerating,decelerating,0.0,0.19728967943837983,False,False
